          x, m           t, s      e-, kg/m3       N, kg/m3       O, kg/m3      N+, kg/m3      O+, kg/m3      N2, kg/m3      NO, kg/m3      O2, kg/m3     NO+, kg/m3     N2+, kg/m3     O2+, kg/m3         Tve, K         u, m/s          p, Pa         Ttr, K     rho, kg/m3         Pp, Pa       Ht, J/kg         TOF, s         POI, m          Ev, J           E, J 

 0.1375000E-02  0.3700423E-06  0.8847529E-12  0.2122271E-04  0.4538837E-03  0.2464113E-11  0.9378858E-11  0.9098374E-02  0.1349807E-03  0.2261788E-02  0.3772806E-07  0.1058179E-09  0.1123376E-07  0.5783365E+04 -0.3715791E+04  0.2460536E+05  0.6885810E+04  0.1197030E-01  0.1652752E+06  0.8966255E+07  0.6875800E-04  0.1860257E+02  0.1654104E+05  0.1635226E+06 
 0.1500000E-02  0.4023020E-06  0.1321082E-11  0.2609203E-04  0.5610558E-03  0.3707435E-11  0.1632232E-10  0.9295207E-02  0.1773084E-03  0.2199269E-02  0.5855786E-07  0.1368080E-09  0.1442227E-07  0.5917573E+04 -0.3728543E+04  0.2469000E+05  0.6698632E+04  0.1225900E-01  0.1704251E+06  0.8964679E+07  0.6875800E-04  0.1860257E+02  0.1733850E+05  0.1686236E+06 
 0.1625000E-02  0.4344748E-06  0.1845060E-11  0.3095499E-04  0.6721998E-03  0.4962638E-11  0.2551322E-10  0.9479150E-02  0.2239271E-03  0.2127182E-02  0.8482284E-07  0.1624831E-09  0.1692937E-07  0.6011220E+04 -0.3740148E+04  0.2476706E+05  0.6525800E+04  0.1253352E-01  0.1753277E+06  0.8963515E+07  0.6875800E-04  0.1860257E+02  0.1795400E+05  0.1734818E+06 
 0.1750000E-02  0.4666023E-06  0.2435317E-11  0.3563293E-04  0.7840779E-03  0.6032606E-11  0.3647127E-10  0.9647145E-02  0.2734941E-03  0.2048308E-02  0.1156649E-06  0.1797373E-09  0.1842863E-07  0.6068699E+04 -0.3750517E+04  0.2483595E+05  0.6369378E+04  0.1278879E-01  0.1798920E+06  0.8962687E+07  0.6875800E-04  0.1860257E+02  0.1839327E+05  0.1780064E+06 
 0.1875000E-02  0.4987171E-06  0.3064192E-11  0.3998383E-04  0.8939179E-03  0.6785455E-11  0.4845312E-10  0.9797576E-02  0.3246699E-03  0.1965411E-02  0.1496222E-06  0.1876173E-09  0.1886798E-07  0.6095493E+04 -0.3759646E+04  0.2489662E+05  0.6230023E+04  0.1302173E-01  0.1840614E+06  0.8962113E+07  0.6875800E-04  0.1860257E+02  0.1867235E+05  0.1821404E+06 
 0.2000000E-02  0.5308421E-06  0.3702256E-11  0.4391016E-04  0.9996148E-03  0.7181811E-11  0.6067087E-10  0.9930217E-02  0.3762497E-03  0.1880970E-02  0.1849246E-06  0.1870947E-09  0.1841909E-07  0.6097481E+04 -0.3767599E+04  0.2494949E+05  0.6107259E+04  0.1323117E-01  0.1878138E+06  0.8961713E+07  0.6875800E-04  0.1860257E+02  0.1881422E+05  0.1858615E+06 
 0.2125000E-02  0.5629911E-06  0.4322362E-11  0.4735881E-04  0.1099774E-02  0.7258818E-11  0.7246477E-10  0.1004594E-01  0.4272358E-03  0.1797018E-02  0.2198239E-06  0.1802764E-09  0.1736117E-07  0.6080403E+04 -0.3774483E+04  0.2499526E+05  0.5999843E+04  0.1341756E-01  0.1911563E+06  0.8961425E+07  0.6875800E-04  0.1860257E+02  0.1884512E+05  0.1891761E+06 
 0.2250000E-02  0.5951708E-06  0.4902476E-11  0.5031514E-04  0.1193636E-02  0.7094169E-11  0.8338273E-10  0.1014632E-01  0.4768605E-03  0.1715092E-02  0.2528513E-06  0.1695475E-09  0.1597328E-07  0.6049440E+04 -0.3780427E+04  0.2503478E+05  0.5906128E+04  0.1358249E-01  0.1941159E+06  0.8961208E+07  0.6875800E-04  0.1860257E+02  0.1879117E+05  0.1921110E+06 
 0.2375000E-02  0.6273830E-06  0.5427046E-11  0.5279389E-04  0.1280935E-02  0.6772940E-11  0.9317907E-10  0.1023327E-01  0.5245738E-03  0.1636255E-02  0.2829498E-06  0.1569767E-09  0.1447328E-07  0.6008991E+04 -0.3785567E+04  0.2506896E+05  0.5824341E+04  0.1372812E-01  0.1967311E+06  0.8961034E+07  0.6875800E-04  0.1860257E+02  0.1867596E+05  0.1947039E+06 
 0.2500000E-02  0.6596261E-06  0.5887088E-11  0.5482966E-04  0.1361760E-02  0.6367515E-11  0.1017698E-09  0.1030878E-01  0.5700126E-03  0.1561175E-02  0.3094939E-06  0.1440575E-09  0.1300242E-07  0.5962621E+04 -0.3790026E+04  0.2509862E+05  0.5752762E+04  0.1385688E-01  0.1990443E+06  0.8960894E+07  0.6875800E-04  0.1860257E+02  0.1851940E+05  0.1969974E+06 
 0.2625000E-02  0.6918968E-06  0.6279356E-11  0.5646840E-04  0.1436421E-02  0.5930430E-11  0.1091778E-09  0.1037470E-01  0.6129634E-03  0.1490205E-02  0.3322332E-06  0.1317042E-09  0.1163704E-07  0.5913068E+04 -0.3793919E+04  0.2512451E+05  0.5689832E+04  0.1397110E-01  0.2010975E+06  0.8960775E+07  0.6875800E-04  0.1860257E+02  0.1833722E+05  0.1990328E+06 
