          x, m           t, s      e-, kg/m3       N, kg/m3       O, kg/m3      N+, kg/m3      O+, kg/m3      N2, kg/m3      NO, kg/m3      O2, kg/m3     NO+, kg/m3     N2+, kg/m3     O2+, kg/m3         Tve, K         u, m/s          p, Pa         Ttr, K     rho, kg/m3         Pp, Pa       Ht, J/kg         TOF, s         POI, m          Ev, J           E, J 

 0.1375000E-02  0.3740212E-06 -0.1164453E-21 -0.2069593E-14 -0.6038969E-13  0.1978307E-19  0.1509700E-19  0.8546751E-02 -0.5270062E-14  0.2594628E-02 -0.6233785E-17  0.3062923E-19  0.3285412E-19  0.5794967E+04 -0.3676263E+04  0.2434295E+05  0.7582864E+04  0.1114138E-01  0.1505747E+06  0.8972632E+07  0.6875800E-04  0.1860257E+02  0.1615354E+05  0.1489481E+06 
 0.1500000E-02  0.4074152E-06 -0.1126052E-21 -0.1984851E-14 -0.5791723E-13  0.2014255E-19  0.1513348E-19  0.8627200E-02 -0.5054281E-14  0.2619051E-02 -0.5964119E-17  0.3104241E-19  0.3329722E-19  0.5968079E+04 -0.3681748E+04  0.2437924E+05  0.7523353E+04  0.1124625E-01  0.1524459E+06  0.8971729E+07  0.6875800E-04  0.1860257E+02  0.1700685E+05  0.1507962E+06 
 0.1625000E-02  0.4407965E-06 -0.1098703E-21 -0.1921603E-14 -0.5607192E-13  0.2045338E-19  0.1525994E-19  0.8698162E-02 -0.4893232E-14  0.2640594E-02 -0.5760447E-17  0.3139680E-19  0.3361357E-19  0.6117167E+04 -0.3686508E+04  0.2441074E+05  0.7471614E+04  0.1133876E-01  0.1540976E+06  0.8971015E+07  0.6875800E-04  0.1860257E+02  0.1776189E+05  0.1524280E+06 
 0.1750000E-02  0.4741721E-06 -0.1097484E-21 -0.1909064E-14 -0.5570610E-13  0.2042688E-19  0.1540705E-19  0.8760694E-02 -0.4861299E-14  0.2659577E-02 -0.5712456E-17  0.3170095E-19  0.3383915E-19  0.6245811E+04 -0.3690644E+04  0.2443810E+05  0.7426598E+04  0.1142027E-01  0.1555538E+06  0.8970473E+07  0.6875800E-04  0.1860257E+02  0.1842931E+05  0.1538674E+06 
 0.1875000E-02  0.5075469E-06 -0.1105765E-21 -0.1947544E-14 -0.5682846E-13  0.2089182E-19  0.1546522E-19  0.8815760E-02 -0.4959269E-14  0.2676294E-02 -0.5853456E-17  0.3196207E-19  0.3403724E-19  0.6357041E+04 -0.3694240E+04  0.2446189E+05  0.7387396E+04  0.1149205E-01  0.1568368E+06  0.8970062E+07  0.6875800E-04  0.1860257E+02  0.1901863E+05  0.1551361E+06 
 0.2000000E-02  0.5409250E-06 -0.9811440E-22 -0.1727182E-14 -0.5039850E-13  0.2104962E-19  0.1557578E-19  0.8864224E-02 -0.4398130E-14  0.2691007E-02 -0.5177221E-17  0.3218590E-19  0.3425646E-19  0.6453386E+04 -0.3697371E+04  0.2448261E+05  0.7353228E+04  0.1155523E-01  0.1579664E+06  0.8969749E+07  0.6875800E-04  0.1860257E+02  0.1953851E+05  0.1562536E+06 
 0.2125000E-02  0.5743090E-06 -0.8465237E-22 -0.1490776E-14 -0.4350046E-13  0.2131352E-19  0.1585796E-19  0.8906860E-02 -0.3796142E-14  0.2703950E-02 -0.4451737E-17  0.3237727E-19  0.3446581E-19  0.6536969E+04 -0.3700099E+04  0.2450066E+05  0.7323425E+04  0.1161081E-01  0.1589605E+06  0.8969511E+07  0.6875800E-04  0.1860257E+02  0.1999679E+05  0.1572373E+06 
 0.2250000E-02  0.6077011E-06 -0.7106728E-22 -0.1246164E-14 -0.3636301E-13  0.2142538E-19  0.1614321E-19  0.8944357E-02 -0.3173261E-14  0.2715334E-02 -0.3701065E-17  0.3254087E-19  0.3494712E-19  0.6609585E+04 -0.3702478E+04  0.2451641E+05  0.7297409E+04  0.1165969E-01  0.1598351E+06  0.8969328E+07  0.6875800E-04  0.1860257E+02  0.2040053E+05  0.1581030E+06 
 0.2375000E-02  0.6411027E-06 -0.5713431E-22 -0.9994597E-15 -0.2916450E-13  0.2195563E-19  0.1642574E-19  0.8977328E-02 -0.2545050E-14  0.2725343E-02 -0.2943969E-17  0.3267966E-19  0.3542169E-19  0.6672754E+04 -0.3704555E+04  0.2453015E+05  0.7274683E+04  0.1170267E-01  0.1606043E+06  0.8969189E+07  0.6875800E-04  0.1860257E+02  0.2075608E+05  0.1588646E+06 
 0.2500000E-02  0.6745147E-06 -0.4350225E-22 -0.7553276E-15 -0.2204106E-13  0.2180659E-19  0.1670124E-19  0.9006315E-02 -0.1923392E-14  0.2734143E-02 -0.2194775E-17  0.3279546E-19  0.3588267E-19  0.6727769E+04 -0.3706369E+04  0.2454215E+05  0.7254818E+04  0.1174046E-01  0.1612807E+06  0.8969081E+07  0.6875800E-04  0.1860257E+02  0.2106907E+05  0.1595345E+06 
 0.2625000E-02  0.7079375E-06 -0.2992404E-22 -0.5170943E-15 -0.1508967E-13  0.2195497E-19  0.1696670E-19  0.9031797E-02 -0.1316748E-14  0.2741879E-02 -0.1463684E-17  0.3289336E-19  0.3632535E-19  0.6775733E+04 -0.3707955E+04  0.2455265E+05  0.7237443E+04  0.1177368E-01  0.1618754E+06  0.8968999E+07  0.6875800E-04  0.1860257E+02  0.2134452E+05  0.1601235E+06 
