# i  k  rho  u  p t
8.5000004619e-03 19997 5.3546052172e-12 4.6022261713e-05 1.2741829060e-03 -1.5483766448e-13 7.2491507610e-11 6.9027220909e-03 4.5952414666e-04 6.5575034317e-04 2.8879040314e-07 6.0936334845e-11 4.1867122301e-09 5.5535931270e+03 3.4717016356e+03 1.6355540728e+04 5.3882568359e+03
9.0000005439e-03 19997 5.4184597599e-12 4.6058255489e-05 1.3023287194e-03 5.8926464100e-12 7.5685698057e-11 6.9529827252e-03 4.8149269842e-04 6.3427685255e-04 2.9263537167e-07 4.8654125001e-11 3.8053257896e-09 5.5144981470e+03 3.4598344212e+03 1.6438226228e+04 5.3623779297e+03
9.4999996945e-03 19997 5.4250136139e-12 4.5737438767e-05 1.3253099984e-03 2.8049208344e-14 7.8119428631e-11 7.0022843993e-03 5.0123699936e-04 6.1844012657e-04 2.9327028218e-07 5.4147097851e-11 3.5128632018e-09 5.4788811837e+03 3.4488026822e+03 1.6509762832e+04 5.3374223633e+03
1.0000000708e-02 19997 5.3734151971e-12 4.4995930367e-05 1.3416473322e-03 4.9828678838e-12 7.9597356890e-11 7.0489195881e-03 5.1842919817e-04 6.0931010147e-04 2.9071541483e-07 4.2378184879e-11 3.2265082748e-09 5.4460409194e+03 3.4389119319e+03 1.6563528021e+04 5.3131064453e+03
1.0499999858e-02 19997 5.2657198110e-12 4.3807824188e-05 1.3501076264e-03 -4.5524621060e-14 8.0031440429e-11 7.0918656533e-03 5.3280907323e-04 6.0790324934e-04 2.8501778604e-07 4.6043873771e-11 3.0263666896e-09 5.4156132675e+03 3.4302142210e+03 1.6595736215e+04 5.2894213867e+03
1.0999999940e-02 19997 5.1067994014e-12 4.2194252750e-05 1.3498684988e-03 3.6252185795e-12 7.9317833164e-11 7.1305325892e-03 5.4415878597e-04 6.1495442928e-04 2.7651103555e-07 3.5327262057e-11 2.8324487622e-09 5.3875220837e+03 3.4225470191e+03 1.6604964807e+04 5.2665756836e+03
1.1500000022e-02 19997 4.9045271815e-12 4.0222186487e-05 1.3406299379e-03 3.4752481797e-13 7.7455884844e-11 7.1644374168e-03 5.5226641856e-04 6.3072007059e-04 2.6556701207e-07 3.6338135949e-11 2.7134271661e-09 5.3619001221e+03 3.4156014940e+03 1.6591355862e+04 5.2449155273e+03
1.2000000104e-02 19997 4.6686079961e-12 3.7993400258e-05 1.3226691789e-03 2.5452799345e-12 7.4501157992e-11 7.1929440870e-03 5.5691197489e-04 6.5484665395e-04 2.5277535105e-07 2.8953454611e-11 2.6011561814e-09 5.3389938915e+03 3.4089962473e+03 1.6555843052e+04 5.2248520508e+03
1.2500000186e-02 19997 4.4098826622e-12 3.5627123869e-05 1.2968365256e-03 2.5302326514e-13 7.0608489074e-11 7.2151471542e-03 5.5789822459e-04 6.8632208555e-04 2.3869232373e-07 2.8321099374e-11 2.5399902952e-09 5.3190626783e+03 3.4023420917e+03 1.6499597818e+04 5.2067661133e+03
1.2999999337e-02 19997 4.1390746953e-12 3.3241184033e-05 1.2644877097e-03 1.9137113416e-12 6.5972350183e-11 7.2299191420e-03 5.5512155015e-04 7.2352442184e-04 2.2394166041e-07 2.2800967259e-11 2.4839758118e-09 5.3022855907e+03 3.3952916357e+03 1.6423769066e+04 5.1909526367e+03
1.3500000350e-02 19997 3.8661553318e-12 3.0936647500e-05 1.2273534126e-03 -3.1005508135e-14 6.0875597311e-11 7.2360906002e-03 5.4865654159e-04 7.6436915243e-04 2.0905039555e-07 2.2188355966e-11 2.4582776010e-09 5.2886918679e+03 3.3875732418e+03 1.6329482317e+04 5.1775488281e+03
